PLAYER,POS,AGE,TRB,AST,STL,BLK,PTS
Kyle Kuzma,PF,28,6.6,4.2,0.5,0.7,22.2
Jock Landale,C,28,3.1,1.2,0.4,0.6,4.9
Jake LaRavia,PF,22,3.7,1.7,0.8,0.3,10.8
Zach LaVine,SG,28,5.2,3.9,0.8,0.3,19.5
A.J. Lawson,SG,23,1.2,0.5,0.2,0.1,3.2
Saben Lee,PG,24,1.3,1.3,0.3,0.1,3
Alex Len,C,30,2.7,1,0.2,0.7,2.5
Kawhi Leonard,SF,32,6.1,3.6,1.6,0.9,23.7
Caris LeVert,SG,29,4.1,5.1,1.1,0.5,14
Kira Lewis Jr.,PG,22,0.9,1.3,0.3,0.1,3.2
Maxwell Lewis,SF,21,0.1,0.2,0.1,0,0.3
E.J. Liddell,PF,23,0.6,0.1,0.3,0.3,0.5
Damian Lillard,PG,33,4.4,7,1,0.2,24.3
Nassir Little,SF,23,1.7,0.5,0.2,0.2,3.4
Dereck Lively II,C,19,6.9,1.1,0.7,1.4,8.8
Isaiah Livers,PF,25,2.1,1.1,0.6,0.2,5
Chris Livingston,SF,20,1,0.2,0.1,0,1.2
Kenneth Lofton Jr.,PF,21,1.8,1.6,0.3,0.2,4.6
Kevon Looney,C,27,5.7,1.8,0.4,0.4,4.5
Brook Lopez,C,35,5.2,1.6,0.5,2.4,12.5
Robin Lopez,C,35,0.3,0.3,0.1,0.2,1.1
Kevin Love,PF,35,6.1,2.1,0.3,0.2,8.8
Kyle Lowry,PG,37,3.2,4.2,1,0.4,8.1
Seth Lundy,SF,23,0.8,0,0,0,1.6
Trey Lyles,PF,28,4.4,1.2,0.3,0.3,7.2
Th o Maledon,PG,22,1.4,1.6,0.4,0,3.5
Sandro Mamukelashvili,C,24,3.2,1.1,0.2,0.3,4.1
Terance Mann,SG,27,3.4,1.6,0.6,0.2,8.8
Tre Mann,PG,22,3.6,4,1.2,0.1,9.3
Boban Marjanovic,C,35,2.3,0.4,0.1,0.1,3.2
Lauri Markkanen,PF,26,8.2,2,0.9,0.5,23.2
Naji Marshall,SF,26,3.6,1.9,0.7,0.2,7.1
Caleb Martin,SF,28,4.4,2.2,0.7,0.5,10
Cody Martin,SF,28,3.9,3.7,1.1,0.6,7.5
KJ Martin,SF,23,2.2,0.9,0.4,0.2,3.7
Garrison Mathews,SG,27,1.4,0.6,0.3,0.1,4.9
Bennedict Mathurin,SF,21,4,2,0.6,0.2,14.5
Wesley Matthews,SG,37,1.5,0.6,0.4,0.3,3.1
Tyrese Maxey,PG,23,3.7,6.2,1,0.5,25.9
Skylar Mays,PG,26,1.1,2.2,0.6,0.1,4.1
Miles McBride,PG,23,1.5,1.7,0.7,0.1,8.3
CJ McCollum,PG,32,4.3,4.6,0.9,0.6,20
T.J. McConnell,PG,31,2.7,5.5,1,0.1,10.2
Jaden McDaniels,SF,23,3.1,1.4,0.9,0.6,10.5
Jalen McDaniels,SF,26,1.6,0.7,0.4,0.1,3.4
Doug McDermott,SF,32,0.9,1.1,0.3,0,5.5
JaVale McGee,C,36,2.7,0.4,0.3,0.4,4
Bryce McGowens,SG,21,1.7,0.9,0.4,0.2,5.1
Jordan McLaughlin,PG,27,1.3,2,0.6,0.1,3.5
De'Anthony Melton,SG,25,3.7,3,1.6,0.4,11.1
Nathan Mensah,C,25,2.6,0.4,0.2,0.6,1.3
Sam Merrill,SG,27,2,1.8,0.3,0.1,8
Chimezie Metu,C,26,3.8,0.9,0.8,0.3,6.5
Vasilije Micic,PG,30,1.5,4.4,0.5,0.1,7
Khris Middleton,SF,32,4.7,5.3,0.9,0.3,15.1
Brandon Miller,SF,21,4.3,2.4,0.9,0.6,17.3
Jordan Miller,SF,24,0.6,0,0,0,1.6
Leonard Miller,SF,20,1.2,0.5,0.1,0.1,1.7
Dariq Whitehead,SF,19,2,1.5,0,0.5,1.5
Patty Mills,PG,35,1.1,1.1,0.6,0,4
Shake Milton,SG,27,1.6,1.3,0.4,0.1,4.5
Justin Minaya,SF,24,1.6,0.6,0.3,0.3,1.8
Josh Minott,SF,21,0.5,0.3,0.2,0.2,1.6
Davion Mitchell,PG,25,1.3,1.9,0.2,0,5.3
Donovan Mitchell,SG,27,5.1,6.1,1.8,0.5,26.6
Evan Mobley,PF,22,9.4,3.2,0.9,1.4,15.7
Isaiah Mobley,PF,24,1,0.6,0.2,0,2.3
Malik Monk,SG,25,2.9,5.1,0.6,0.5,15.4
Moses Moody,SG,21,3,0.9,0.6,0.4,8.1
Xavier Moon,SG,29,1.3,1.5,0.2,0.2,2.4
Taze Moore,SG,25,2,1.3,0.5,0,4.5
Wendell Moore Jr.,SG,22,0.5,0.2,0.2,0,0.7
Ja Morant,PG,24,5.6,8.1,0.8,0.6,25.1
Marcus Morris,PF,34,2.7,0.7,0.3,0.3,6.4
Markieff Morris,PF,34,1.5,0.6,0.2,0.1,2.5
Monte Morris,PG,28,1.7,2.1,0.6,0.3,5
Trey Murphy III,SF,23,4.9,2.2,0.9,0.5,14.8
Dejounte Murray,SG,27,5.3,6.4,1.4,0.3,22.5
Jamal Murray,PG,26,4.1,6.5,1,0.7,21.2
Keegan Murray,SF,23,5.5,1.7,1,0.8,15.2
Kris Murray,SF,23,3.6,1.3,0.9,0.3,6.1
Mike Muscala,C,32,2.4,0.7,0.2,0.2,3
Svi Mykhailiuk,SF,26,1.2,0.9,0.3,0,4
Larry Nance Jr.,C,31,5,1.9,1,0.3,5.7
Pete Nance,PF,23,0.4,0,0.1,0,0.4
Andrew Nembhard,PG,24,2.1,4.1,0.9,0.1,9.2
Aaron Nesmith,SF,24,3.8,1.5,0.9,0.7,12.2
Georges Niang,PF,30,3.4,1.2,0.4,0.2,9.4
Daishen Nix,PG,21,0.2,0.4,0.3,0,1.8
Zeke Nnaji,PF,23,2.2,0.6,0.3,0.7,3.2
Jaylen Nowell,SG,24,1.8,1.5,0.3,0.2,6.2
Markquis Nowell,SG,24,2,2,1,0,2
Frank Ntilikina,PG,25,1.2,0.8,0,0,1
Jusuf Nurkic,C,29,11,4,1.1,1.1,10.9
Jordan Nwora,SF,25,2.9,1.2,0.5,0.3,7
Royce O'Neale,SF,30,4.8,2.8,0.7,0.6,7.7
Chuma Okeke,SF,25,1.7,0.4,0.2,0.1,2.3
Josh Okogie,SG,25,2.6,1.1,0.8,0.4,4.6
Onyeka Okongwu,C,23,6.8,1.3,0.5,1.1,10.2
Isaac Okoro,SF,23,3,1.9,0.8,0.5,9.4
Kelly Olynyk,C,32,5.3,4.4,0.9,0.4,9.8
Eugene Omoruyi,SF,26,2,0.8,0.6,0.1,4.8
Cedi Osman,SF,28,2.5,1.7,0.5,0.2,6.8
Kelly Oubre Jr.,SF,28,5,1.5,1.1,0.7,15.4
Chris Paul,PG,38,3.9,6.8,1.2,0.1,9.2
Cameron Payne,PG,29,1.5,2.6,0.5,0.1,7.4
Gary Payton II,SG,31,2.6,1.1,0.9,0.4,5.5
M ozinha Pereira,SF,23,5.3,0.3,0.9,0.6,6.9
Drew Peterson,PF,24,0.3,0.3,0.7,0,3.7
Filip Petru ev,C,23,0.3,0,0,0,1
Julian Phillips,SF,20,0.9,0.3,0.2,0.2,2.2
Jalen Pickett,SG,24,0.5,0.8,0.1,0,1.6
Scotty Pippen Jr.,PG,23,3.2,4.7,1.7,0.5,12.9
Mason Plumlee,C,33,5.1,1.2,0.3,0.4,5.3
Brandin Podziemski,SG,20,5.8,3.7,0.8,0.2,9.2
Jakob Poeltl,C,28,8.6,2.5,0.7,1.5,11.1
Aleksej Pokusevski,PF,22,3.2,1.3,0.5,0.5,5.2
Jordan Poole,SG,24,2.7,4.4,1.1,0.3,17.4
Craig Porter Jr.,PG,23,2.1,2.3,0.4,0.3,5.6
Jontay Porter,PF,24,3.2,2.3,0.8,0.8,4.4
Michael Porter Jr.,SF,25,7,1.5,0.5,0.7,16.7
Otto Porter Jr.,SF,30,1.9,0.5,0.3,0.3,2.6
Bobby Portis,PF,28,7.4,1.3,0.8,0.4,13.8
Kristaps Porzingis,C,28,7.2,2,0.7,1.9,20.1
Micah Potter,PF,25,2.7,0.4,0.3,0.4,3.3
Dwight Powell,C,32,3.4,1.3,0.4,0.3,3.3
Norman Powell,SG,30,2.6,1.1,0.6,0.3,13.9
Jason Preston,PG,24,2.4,2.3,0.3,0.1,1.7
Joshua Primo,SG,21,0.5,0,0,0.5,1
Taurean Prince,PF,29,2.9,1.5,0.7,0.4,8.9
Payton Pritchard,PG,26,3.2,3.4,0.5,0.1,9.6
Olivier-Maxence Prosper,PF,21,2,0.6,0.2,0.1,3
Trevelin Queen,SG,26,1.4,1.3,0.5,0.4,2.9
Neemias Queta,C,24,4.4,0.7,0.5,0.8,5.5
Immanuel Quickley,PG,24,3.8,4.9,0.7,0.1,17
Lester Quinones,SG,23,1.9,1,0.2,0.1,4.4
Jahmi'us Ramsey,SG,22,3.1,1.1,1,0,6.7
Julius Randle,PF,29,9.2,5,0.5,0.3,24
Duop Reath,C,27,3.7,1,0.5,0.6,9.1
Austin Reaves,SG,25,4.3,5.5,0.8,0.3,15.9
Cam Reddish,SF,24,2.1,1,1,0.3,5.4
Paul Reed,C,24,6,1.3,0.8,1,7.3
Naz Reid,C,24,5.2,1.3,0.8,0.9,13.5
Jared Rhoden,SG,24,1.9,0.8,0.2,0.8,4.9
Nick Richards,C,26,8,0.8,0.4,1.1,9.7
Josh Richardson,SG,30,2.8,2.4,0.6,0.3,9.9
Duncan Robinson,SF,29,2.5,2.8,0.7,0.2,12.9
Jerome Robinson,SG,26,0.3,0.2,0,0.1,1.4
Mitchell Robinson,C,25,8.5,0.6,1.2,1.1,5.6
Orlando Robinson,C,23,2.3,0.9,0.2,0.2,2.8
Jeremiah Robinson-Earl,PF,23,1.9,0.5,0.3,0.1,2.9
David Roddy,PF,22,3.2,1.2,0.4,0.2,6.5
Ryan Rollins,PG,21,1,1.1,0.8,0.2,3.4
Derrick Rose,PG,35,1.9,3.3,0.3,0.1,8
Terry Rozier,PG,29,4,5.6,1,0.3,19.8
Rayan Rupert,SG,19,2.4,1.6,0.3,0.1,4
D'Angelo Russell,PG,27,3.1,6.3,0.9,0.5,18
Matt Ryan,SF,26,1.4,0.6,0.2,0,5.4
Domantas Sabonis,C,27,13.7,8.2,0.9,0.6,19.4
Luka Samanic,PF,24,2.4,0.4,0.1,0.2,4.1
Jermaine Samuels,SF,25,0.9,0.2,0.1,0.1,1.4
Adama Sanogo,PF,21,4,0,0.1,0,4
Gui Santos,PF,21,2.1,0.6,0.2,0.1,3.6
Dario Saric,C,29,4.4,2.3,0.5,0.2,8
Olivier Sarr,C,24,2.4,0.1,0,0.5,2.3
Marcus Sasser,PG,23,1.8,3.3,0.6,0.2,8.3
Admiral Schofield,PF,26,0.7,0.3,0,0,1.1
Dennis Schr der,PG,30,3,6.1,0.8,0.2,14
Dereon Seabron,SG,23,1.2,0.8,0.3,0.2,2.3
Alperen Sengun,C,21,9.3,5,1.2,0.7,21.1
Brice Sensabaugh,SF,20,3.2,1.7,0.4,0.2,7.5
Collin Sexton,SG,25,2.6,4.9,0.8,0.2,18.7
Landry Shamet,SG,26,1.3,1.2,0.5,0.2,7.1
Day'Ron Sharpe,C,22,6.4,1.4,0.4,0.7,6.8
Shaedon Sharpe,SG,20,5,2.9,0.9,0.4,15.9
Ben Sheppard,SG,22,1.6,0.9,0.6,0,4.4
Pascal Siakam,PF,29,7.1,4.3,0.8,0.3,21.7
Ben Simmons,PG,27,7.9,5.7,0.8,0.6,6.1
Kobi Simmons,PG,26,1.8,3,1.5,0.5,5
Anfernee Simons,SG,24,3.6,5.5,0.5,0.1,22.6
Zavier Simpson,PG,26,2.9,3.6,1,0.4,6
Jericho Sims,C,25,3.3,0.6,0.2,0.4,2
Dmytro Skapintsev,C,25,0,0,0,0,0
Jalen Slawson,SF,24,0.6,0.2,0.1,0.1,0.7
Javonte Smart,PG,24,0,0,0,0,0
Marcus Smart,PG,29,2.7,4.3,2.1,0.3,14.5
Dennis Smith Jr.,PG,26,2.9,3.6,1.2,0.2,6.6
Dru Smith,SG,26,1.6,1.6,1,0.3,4.3
Ish Smith,PG,35,1.8,3.4,0.4,0.1,3.2
Jabari Smith Jr.,PF,20,8.1,1.6,0.7,0.8,13.7
Jalen Smith,C,23,5.5,1,0.3,0.6,9.9
Nick Smith Jr.,SG,19,1.4,1.2,0.2,0.1,5.9
Terquavion Smith,PG,21,0.3,0.8,0.5,0,3.3
Jeremy Sochan,PF,20,6.4,3.4,0.8,0.5,11.6
Pat Spencer,PG,27,0.7,0.8,0,0,0.7
Jaden Springer,SG,21,1.6,0.9,0.7,0.3,3.3
Lamar Stevens,PF,26,3.3,0.7,0.6,0.6,7.2
Isaiah Stewart,PF,22,6.6,1.6,0.4,0.8,10.9
Julian Strawther,SF,21,1.2,0.9,0.3,0.1,4.5
Max Strus,SF,27,4.8,4,0.9,0.4,12.2
Jalen Suggs,SG,22,3.1,2.7,1.4,0.6,12.6
Cole Swider,SF,24,0.4,0.3,0.1,0.1,2.3
Jae'Sean Tate,SF,28,3,1,0.6,0.2,4.1
Jayson Tatum,PF,25,8.1,4.9,1,0.6,26.9
Terry Taylor,PF,24,1.2,0.3,0.2,0.1,1.5
Garrett Temple,SG,37,1.7,1,0.4,0.1,3.3
Dalen Terry,SG,21,1.9,1.4,0.5,0.3,3.1
Daniel Theis,C,31,4.1,1,0.4,0.9,6.3
Cam Thomas,SG,22,3.2,2.9,0.7,0.2,22.5
Isaiah Thomas,PG,34,0,0.5,0,0,1.3
Amen Thompson,SF,21,6.6,2.6,1.3,0.6,9.5
Ausar Thompson,SF,21,6.4,1.9,1.1,0.9,8.8
Klay Thompson,SF,33,3.3,2.3,0.6,0.5,17.9
Tristan Thompson,C,32,3.6,1,0.2,0.3,3.3
JT Thor,PF,21,2.3,0.5,0.2,0.4,3.2
Matisse Thybulle,SF,26,2.1,1.4,1.7,0.8,5.4
Xavier Tillman Sr.,C,25,3.9,1.4,0.9,0.8,5.3
Jacob Toppin,SF,23,0.8,0.3,0,0.1,1.4
Obi Toppin,PF,25,3.9,1.6,0.6,0.5,10.3
Juan Toscano-Anderson,SF,30,1.3,0.4,0.1,0.1,0.6
Karl-Anthony Towns,PF,28,8.3,3,0.7,0.7,21.8
Gary Trent Jr.,SG,25,2.6,1.7,1.1,0.1,13.7
Oscar Tshiebwe,PF,24,2,0.3,0.3,0.1,3.3
P.J. Tucker,PF,38,2.7,0.5,0.5,0.2,1.7
Myles Turner,C,27,6.9,1.3,0.5,1.9,17.1
Hunter Tyson,PF,23,0.5,0.1,0.1,0,1.1
Stanley Umude,SG,24,2.1,0.5,0.3,0.3,5.3
Jonas Valanciunas,C,31,8.8,2.1,0.4,0.8,12.2
Jarred Vanderbilt,PF,24,4.8,1.2,1.2,0.2,5.2
Fred VanVleet,PG,29,3.8,8.1,1.4,0.8,17.4
Devin Vassell,SG,23,3.8,4.1,1.1,0.3,19.5
Sasha Vezenkov,PF,28,2.3,0.5,0.5,0.2,5.4
Gabe Vincent,PG,27,0.8,1.9,0.8,0,3.1
Nikola Vucevic,C,33,10.5,3.3,0.7,0.8,18
Tristan Vukcevic,C,20,3.6,1.3,0.5,0.7,8.5
Dean Wade,PF,27,4,0.8,0.7,0.5,5.4
Franz Wagner,SF,22,5.3,3.7,1.1,0.4,19.7
Moritz Wagner,C,26,4.3,1.2,0.5,0.3,10.9
Ish Wainright,SF,29,1.3,0.1,0.4,0.1,2.1
Jabari Walker,SF,21,7.1,1,0.6,0.3,8.9
Jarace Walker,PF,20,1.9,1.2,0.5,0.3,3.6
Lonnie Walker IV,SG,25,2.2,1.3,0.6,0.3,9.7
Cason Wallace,SG,20,2.3,1.5,0.9,0.5,6.8
Jordan Walsh,SF,19,2.2,0.6,0.6,0.1,1.7
T.J. Warren,SF,30,2,0.8,0.4,0.1,3.7
P.J. Washington,PF,25,5.6,1.9,1,0.8,12.9
TyTy Washington Jr.,PG,22,0.5,0.5,0.3,0,1.3
Yuta Watanabe,SF,29,1.6,0.4,0.4,0.2,3.4
Lindy Waters III,SG,26,1.1,0.6,0.1,0.2,3.6
Trendon Watford,PF,23,3.1,1.3,0.4,0.3,6.9
Peyton Watson,SF,21,3.2,1.1,0.5,1.1,6.7
Victor Wembanyama,C,20,10.6,3.9,1.2,3.6,21.4
Blake Wesley,SG,20,1.5,2.7,0.5,0.1,4.4
Russell Westbrook,PG,35,5,4.5,1.1,0.3,11.1
Coby White,PG,23,4.5,5.1,0.7,0.2,19.1
Derrick White,SG,29,4.2,5.2,1,1.2,15.2
Jack White,SF,26,3,0.3,1,0.3,1.5
Cam Whitmore,SF,19,3.8,0.7,0.6,0.4,12.3
Aaron Wiggins,SG,25,2.4,1.1,0.7,0.2,6.9
Andrew Wiggins,SF,28,4.5,1.7,0.6,0.6,13.2
Lindell Wigginton,PG,25,0,0,0,0,2
Alondes Williams,SG,24,0.1,0,0,0.1,0.7
Brandon Williams,PG,24,0.8,1,0.1,0.1,3.2
Grant Williams,PF,25,4.2,2.3,0.6,0.5,10.3
Jalen Williams,PF,22,4,4.5,1.1,0.6,19.1
Jaylin Williams,C,21,3.4,1.6,0.4,0.4,4
Jeenathan Williams,SG,24,1,0.3,0.2,0,2.9
Kenrich Williams,PF,29,3,1.3,0.6,0.1,4.7
Malik Williams,C,25,5.4,0.3,0.4,0.6,2.7
Mark Williams,C,22,9.7,1.2,0.8,1.1,12.7
Patrick Williams,PF,22,3.9,1.5,0.9,0.8,10
Robert Williams,C,26,6.3,0.8,1.2,1.2,6.8
Vince Williams Jr.,SG,23,5.6,3.4,0.9,0.7,10
Ziaire Williams,SF,22,3.5,1.5,0.7,0.2,8.2
Zion Williamson,PF,23,5.8,5,1.1,0.7,22.9
D.J. Wilson,PF,27,1,1,0,1,5
Jalen Wilson,PF,23,3,1,0.3,0.1,5
Dylan Windler,SF,27,0.9,0.6,0.1,0,2.5
James Wiseman,C,22,5.3,0.9,0.2,0.6,7.1
Isaiah Wong,SG,23,0,0,0,0,2
Christian Wood,PF,28,5.1,1,0.3,0.7,6.9
Delon Wright,PG,31,1.8,2.5,1.1,0.2,4.5
Thaddeus Young,PF,35,3.1,1.7,0.7,0.2,4.2
Trae Young,PG,25,2.8,10.8,1.3,0.2,25.7
Omer Yurtseven,C,25,4.3,0.6,0.2,0.4,4.6
Cody Zeller,C,31,2.6,0.9,0.2,0.1,1.8
Ivica Zubac,C,26,9.2,1.4,0.3,1.2,11.7
